State,21-Mar,5-Mar,11-Jun,17-Dec,17-Jun,18-21
Alabama,86922,7726,39227,35458,74685,4511
Alaska,18711,2221,8213,7382,15595,895
American Samoa,599,29,235,311,546,24
Arizona,135250,15555,59622,54680,114302,5393
Arkansas,70792,13474,29209,25409,54618,2700
Bureau of Indian Education,6271,240,3132,2609,5741,290
California,747317,80903,310676,315703,626379,40035
Colorado,98031,13485,41664,38451,80115,4431
Connecticut,77519,9086,29506,34642,64148,4285
Delaware,21581,2444,9157,8832,17989,1148
District of Columbia,12811,1675,5180,5162,10342,794
Federated States of Micronesia,2043,142,815,954,1769,132
Florida,382870,40412,162847,153707,316554,25904
Georgia,209094,18553,91568,89026,180594,9947
Guam,2018,165,658,1064,1722,131
Hawaii,19375,2491,7449,8668,16117,767
Idaho,31238,3588,13907,12565,26472,1178
Illinois,294150,37253,119940,121371,241311,15586
Indiana,173293,18108,72807,72472,145279,9906
Iowa,64875,6591,28706,26855,55561,2723
Kansas,72286,11437,31191,26860,58051,2798
Kentucky,101579,17626,46822,33430,80252,3701
Louisiana,82968,10019,37538,30916,68454,4495
Maine,33125,3505,14335,14330,28665,955
Maryland,106847,13885,43804,44161,87965,4997
Massachusetts,170119,17468,68483,74935,143418,9233
Michigan,197965,21199,81099,84603,165702,11064
Minnesota,131865,16586,54066,53867,107933,7346
Mississippi,67898,8419,32033,24474,56507,2972
Missouri,128623,17687,55017,50495,105512,5424
Montana,18056,1697,8218,7663,15881,478
Nebraska,43143,0,22124,19221,41345,1798
Nevada,56791,8769,24500,21594,46094,1928
New Hampshire,28935,3547,11488,12733,24221,1167
New Jersey,235495,19237,100544,105576,206120,10138
New Mexico,51383,4354,23796,21169,44965,2064
New York,505414,66317,208858,207273,416131,22966
North Carolina,199512,19211,85119,84940,170059,10242
North Dakota,14407,2012,6127,5574,11701,694
Northern Marianas,927,92,334,440,774,61
Ohio,259899,23181,101682,119060,220742,15976
Oklahoma,109391,9450,47322,48107,95429,4512
Oregon,85865,10852,35490,35181,70671,4342
Pennsylvania,311435,34056,124126,136280,260406,16973
Puerto Rico,118882,14794,51590,48887,100477,3611
Republic of Palau,92,6,31,42,73,13
Republic of the Marshall Islands,678,39,274,332,606,33
Rhode Island,23296,3025,9338,9582,18920,1351
South Carolina,103552,9631,46634,42159,88793,5128
South Dakota,20312,2748,9680,7049,16729,835
Tennessee,128936,13480,54649,54639,109288,6168
Texas,477526,46652,198745,206711,405456,25418
Utah,81956,10516,36998,31341,68339,3101
Vermont,14370,1893,5755,6072,11827,650
Virgin Islands,1192,120,414,555,969,103
Virginia,167855,17510,67879,73239,141118,9227
Washington,139550,15897,60259,56531,116790,6863
West Virginia,46299,5376,21401,17462,38863,2060
Wisconsin,,,,,,
Wyoming,15499,3367,6535,5101,11636,496
"US, Outlying Areas, and Freely Associated States",6808683,759801,2868816,2837905,5706721,342161